id,topic,sources,in_class,due
W1,Extensions & culture,mcluhan_understanding_media; geertz_impact_concept_culture,,
W2,Remediation & comics,bolter_grusin_remediation; mccloud_understanding_comics,,
W3,Software culture & literature,manovich_language_new_media; borges_library_babel; calvino_cybernetics_ghosts,,
W4,Bias & discourse,innis_bias_communication; postman_amusing_ourselves,,
W5,Platforms & decay,noble_algorithms_oppression; doctorow_unholy_trinity,,
W6,Attention & ownership,carr_shallows; theme_property_ownership,,
W7,Case studies in platform power,case_zunzuneo; case_twitter_cambridge,,
W8,Culture is ordinary,williams_culture_is_ordinary; teaching_thick_thin,,
W9,Thick description practice,geertz_deep_play; barthes_world_of_wrestling,,
W10,Myths & memes,harari_sapiens; blackmore_meme_machine,,
W11,Systems documentary,adam_curtis_awobmolg,,
W12,AI ethics & identity,bender_stochastic_parrots; allado_mcdowell_neural_interpellation,,
W13,Apparatus & program,flusser_philosophy_photography; sontag_on_photography,,
W14,Aura & feeds,benjamin_work_of_art; jurgenson_irl_fetish,,
W15,Augmentation lineage,bush_as_we_may_think; engelbart_mother_demo; nelson_xanadu,,
